neighbourhood, 112
neighbourhoods, 94
tools, 87
sustainability, 70
research, 50
built, 42
environment, 40
sustainable, 35
density, 26
data, 25
social, 20
local, 20
work, 18
public, 18
outcomes, 18
survey, 17
residents, 17
transport, 16
existing, 16
people, 15
housing, 15
buildings, 15
infrastructure, 14
economic, 14
developers, 14
sustainability, 119
urbaniation, 78
indicators, 43
population, 41
development, 39
environmental, 36
economic, 36
sustainable, 35
based, 35
study, 33
perspective, 29
index, 28
components, 28
component, 28
data, 24
area, 24
social, 23
rate, 21
process, 21
indicator, 19
city, 19
assessment, 19
velocity, 18
perspectives, 16
growth, 16
indicators, 79
sustainable, 48
development, 45
sustainability, 30
data, 21
indicator, 11
economic, 10
population, 9
countries, 9
assessment, 9
number, 8
level, 8
survey, 7
study, 7
studies, 7
social, 7
public, 7
planning, 7
neighborhoods, 7
experts, 7
environment, 7
areas, 7
selected, 6
policies, 6
list, 6
development, 322
assessment, 233
design, 229
site, 226
credits, 175
local, 152
criterion, 132
transport, 128
issue, 106
public, 105
manual, 103
compliance, 103
facilities, 100
criteria, 100
required, 99
plan, 98
issues, 98
risk, 97
achieved, 97
strategy, 94
requirements, 89
community, 87
water, 83
energy, 83
area, 83
cultural, 136
urban, 96
policy, 77
social, 63
city, 63
sustainability, 62
spaces, 50
development, 49
culture, 45
creative, 45
institutional, 43
cities, 38
public, 35
policies, 33
logic, 29
change, 29
actors, 29
dierent, 27
innovation, 25
space, 23
process, 23
projects, 22
project, 21
innovations, 21
cases, 20
criteria, 463
compliance, 436
builder, 271
documentation, 243
inspection, 211
final, 199
confirm, 198
insulation, 178
walls, 148
water, 137
provided, 126
area, 117
review, 116
predrywall, 109
installed, 109
drywall, 107
exterior, 106
home, 105
air, 105
floor, 101
system, 99
duct, 99
conditioned, 91
minimum, 87
wall, 85
sustainability, 72
development, 53
environmental, 51
nature, 37
economic, 37
sustainable, 35
social, 34
human, 23
denition, 21
personal, 20
time, 19
framework, 18
space, 16
issues, 16
idea, 16
dimension, 15
aspects, 15
world, 14
triangle, 14
society, 14
culture, 14
report, 13
environment, 13
concept, 13
place, 12
points, 95
point, 56
district, 32
water, 29
building, 25
energy, 21
waste, 20
local, 18
efficiency, 15
design, 15
facilities, 14
minimum, 13
green, 13
based, 13
construction, 11
site, 10
planning, 10
land, 10
requirement, 9
improvement, 9
feedback, 9
consultation, 9
buildings, 9
areas, 9
materials, 8
indicators, 82
development, 65
number, 52
trees, 34
indicator, 29
town, 27
set, 24
inhabitant, 23
strategy, 22
inhabitants, 20
year, 18
percentage, 18
data, 18
values, 16
area, 16
analysis, 16
community, 15
process, 14
plans, 14
level, 14
important, 14
key, 13
goals, 13
planted, 12
health, 12
experts, 119
urban, 102
sustainability, 87
components, 84
relevant, 58
component, 40
study, 37
round, 37
city, 33
quality, 31
rankings, 24
selected, 23
indicators, 21
energy, 21
measuring, 20
air, 20
dening, 19
rst, 18
concept, 18
sustainable, 17
method, 16
extent, 16
