filename, sustainability,development,assessment,sustainable,tools,criteria,indicators,social,local,community,environmental,urban,planning,energy,cultural,area,points,culture,public,water,economic,design,neighbourhood,housing,systems,,environmental,social,economic,cultural,institutional,,3 pillars,4 pillars,5 pillars
CASBEE_brochure_2016.txt,0,6,48,3,18,2,2,0,8,1,23,5,3,5,0,5,0,0,1,2,0,6,0,3,0,,33,10,0,0,14,,FALSE,FALSE,FALSE
Lozano_-_2008_-_Envisioning_sustainability_three-dimensionally.txt,61,22,1,18,4,0,0,41,2,1,32,0,3,1,1,2,0,1,4,0,50,0,0,0,6,,33,48,50,2,3,,TRUE,TRUE,TRUE
Report_NH2012_A_Neighbourhood_Sustainability_Framework_for_New_Zealand.txt,70,13,14,35,87,2,1,20,20,9,11,12,5,3,6,4,1,0,18,7,14,12,112,15,3,,36,67,14,6,29,,TRUE,TRUE,TRUE
earth_carft_communities.txt,1,7,4,2,0,463,0,0,26,6,7,1,1,40,0,117,14,0,6,137,2,45,0,1,46,,185,38,2,0,47,,TRUE,FALSE,FALSE
Valentin_Spangenberg_-_2000_-_A_guide_to_community_sustainability_indicators.txt,24,17,0,18,0,1,52,12,12,10,7,1,0,0,1,1,1,0,4,0,6,0,0,0,0,,7,38,6,1,1,,TRUE,TRUE,TRUE
Mitcham_-_1995_-_The_concept_of_sustainable_development_its_origins_and_ambivalence.txt,25,45,0,47,0,0,0,4,0,1,3,0,0,14,0,1,2,4,5,1,10,0,0,0,1,,18,10,10,4,0,,TRUE,TRUE,FALSE
Green_Mark_Distrcit_singapore.txt,1,7,3,5,0,2,0,0,18,5,5,1,10,21,0,8,95,0,27,29,2,15,0,0,6,,55,50,2,0,26,,TRUE,FALSE,FALSE
sustainability_on_the_urban_scale_proposal_of_a_structure_of_indicators_for_the_spanish_context.txt,54,19,13,13,64,9,92,19,15,4,24,96,13,44,3,12,0,2,31,17,14,17,13,22,8,,107,69,14,5,126,,TRUE,TRUE,TRUE
NSF_Kit_Part_2_The_Neighbourhood_Sustainability_Framework_newzealand.txt,2,0,0,1,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,13,1,0,,6,1,0,0,0,,FALSE,FALSE,FALSE
Berardi_-_2013_-_Sustainability_assessment_of_urban_communities_through_rating_systems.txt,176,22,136,41,13,63,37,33,24,49,24,73,2,19,1,7,9,3,6,11,24,14,0,4,117,,58,112,24,4,89,,TRUE,TRUE,TRUE
urban_sustainbility_and_urban_resilience.txt,36,35,0,21,0,2,2,7,2,4,5,101,13,3,1,1,4,0,3,3,11,4,1,0,20,,11,16,11,1,118,,TRUE,TRUE,TRUE
Sen_-_2012_-_Cultural_for_Sustainable_Development.txt,6,78,0,38,2,0,3,9,22,7,10,5,0,4,40,1,0,63,0,9,15,4,0,0,2,,23,38,15,103,9,,TRUE,TRUE,TRUE
sustainability_assessment_frameworks_for_small_sized_urban_neighbourhoods_an_application_of_fuzzy_synthetic_evaluation.txt,121,34,47,27,18,13,38,14,3,12,11,34,9,20,0,18,3,0,7,21,16,7,49,1,17,,53,36,16,0,50,,TRUE,FALSE,FALSE
BCA_GreenMark_2015_Pilot_Slides_presentation.txt,5,0,1,1,1,4,2,0,1,0,3,0,0,14,0,6,49,0,0,8,0,12,0,0,21,,25,1,0,0,12,,FALSE,FALSE,FALSE
VicUrbanSustainability_Charter.txt,804,872,561,250,421,279,42,100,85,76,120,388,183,86,8,47,97,3,72,95,65,113,13,77,100,,378,333,65,11,684,,TRUE,TRUE,TRUE
Sullivan_Ridin_-_2014_-_Neighbourhood_Sustainability_Frameworks_-_A_Literature_Review.txt,58,41,20,32,21,43,24,9,19,3,22,9,12,16,0,7,1,1,5,7,9,16,20,6,9,,51,36,9,1,37,,TRUE,TRUE,TRUE
Mebratu_-_1998_-_Sustainability_and_sustainable_development.txt,20,62,1,53,2,0,0,27,2,5,63,0,0,3,5,5,2,2,1,3,19,0,0,0,15,,69,35,19,7,0,,TRUE,TRUE,FALSE
Rees_Wackernaegel_-_2005_-_Urban_ecological_footprints_why_cities_cannot_be_sustainable_and_why_they_are_a_key_to_sustainability_The_U.txt,40,17,0,18,1,0,1,3,15,0,5,40,0,29,1,30,0,1,9,5,22,1,0,3,15,,42,27,22,2,41,,TRUE,TRUE,TRUE
an_inclusive_model_for_assessing_the_sustainbility_of_cities_in_developing_countries.txt,64,60,17,21,1,0,29,20,46,5,24,124,12,0,3,49,3,3,17,4,24,2,0,0,8,,28,88,24,6,138,,TRUE,TRUE,TRUE
Agyeman_Evans_-_2003_-_Toward_Just_Sustainability_in_Urban_Communities_Building_Equity_Rights_with_Sustainable_Solutions.txt,77,32,2,36,4,1,2,26,29,46,74,20,30,23,4,4,0,1,12,9,26,7,0,12,6,,118,113,26,5,57,,TRUE,TRUE,TRUE
Certification_-_Green_Building_Council_Australia_GBCA.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,FALSE,FALSE,FALSE
BREEAM_Communities_0_1.txt,40,322,233,34,4,100,1,33,152,87,31,20,63,83,2,83,26,0,105,83,49,229,3,23,27,,220,377,49,2,312,,TRUE,TRUE,TRUE
Dempsey_et_al.txt,76,13,1,23,0,0,0,162,21,54,9,45,4,1,0,3,1,3,7,0,5,3,40,13,1,,23,244,5,3,52,,TRUE,TRUE,TRUE
Haapio_-_2012_-_Towards_sustainable_urban_communities.txt,15,17,54,14,68,34,22,5,13,2,23,51,1,2,2,17,21,3,7,5,2,9,3,2,8,,32,27,2,5,61,,TRUE,TRUE,TRUE
IGBC_Green_Townships_-_Abridged_Reference_Guide_Pilot_Version.txt,0,27,1,3,1,5,0,6,25,10,13,13,4,27,0,15,14,0,34,40,6,29,0,7,11,,87,75,6,0,46,,TRUE,FALSE,FALSE
Tools_and_Resources_for_Sustainable_Communities___Smart_Growth___US_EPA.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,FALSE,FALSE,FALSE
Conference_Paper_Measuring_Neighbourhood_Sustainability_framework_in_NZ_UPE7_Jan07.txt,33,28,14,15,7,10,2,19,31,7,4,20,3,5,2,54,4,0,38,4,7,10,91,35,2,,48,95,7,2,33,,TRUE,TRUE,TRUE
Miner_-_1956_-_Culture.txt,0,22,0,10,0,0,0,6,10,2,4,0,0,0,10,0,0,23,2,0,3,0,0,0,0,,4,20,3,33,0,,TRUE,TRUE,FALSE
institutional_dimension_of_sustainability.txt,78,31,3,22,1,1,2,3,1,11,6,0,3,4,0,4,0,1,3,2,6,1,0,0,4,,12,18,6,1,4,,TRUE,TRUE,TRUE
Pathway_December_-_2012_-_A_Neighbourhood_Sustainability_Framework_for_New_Zealand_Beacon_____s_research_and_tools.txt,70,13,14,35,87,2,1,20,20,9,11,12,5,3,6,4,1,0,18,7,14,12,112,15,3,,36,67,14,6,29,,TRUE,TRUE,TRUE
culture_in_sustainble_urban_development_practices_and_policies_for_spaces_of_possibility_and_institutional_innovations.txt,62,49,0,56,1,9,2,63,23,10,6,96,13,6,136,2,4,45,35,0,9,5,13,1,8,,13,131,9,181,114,,TRUE,TRUE,TRUE
measuring_sustainability_of_urban_blocks.txt,37,13,26,26,6,0,2,10,10,2,6,258,3,8,2,14,6,0,4,0,5,40,1,1,2,,15,26,5,2,301,,TRUE,TRUE,TRUE
Berardi_-_2015_-_Sustainability_assessments_of_buildings_communities_and_cities.txt,217,37,198,89,15,83,49,50,35,36,61,54,3,103,4,7,40,5,12,28,34,16,0,5,182,,197,133,34,9,73,,TRUE,TRUE,TRUE
Komeily_Srinivasan_-_2015_-_A_need_for_balanced_approach_to_neighborhood_sustainability_assessments_A_critical_review_and_analysis.txt,109,36,53,25,137,47,26,14,16,9,15,17,4,10,1,3,35,3,5,8,9,17,0,5,14,,38,44,9,4,38,,TRUE,TRUE,TRUE
The_five_dimensions_of_sustainability.txt,72,53,4,35,3,2,3,34,6,2,51,0,3,0,6,1,2,14,4,0,37,0,0,0,2,,51,46,37,20,3,,TRUE,TRUE,TRUE
Matching_a_community_assessment_tool_to_the_requirements_of_practice.txt,88,114,95,30,8,11,16,31,38,23,22,23,85,6,1,4,6,1,15,0,25,37,3,5,12,,33,107,25,2,145,,TRUE,TRUE,TRUE
defining_and_measuring_urban_sustainability_in_europe_using_delphi.txt,87,12,2,17,1,3,21,14,5,0,21,102,3,21,3,1,8,0,2,10,6,2,0,2,0,,54,21,6,3,107,,TRUE,TRUE,TRUE
